PROBE_ID_REF,GENE_IDENTIFIER,GSM12587,GSM12588,GSM12589,GSM12590,GSM12591,GSM12592,GSM12593,GSM12594,GSM12595,GSM12596,GSM12597,GSM12598,GSM12599,GSM12600,GSM12601,GSM12602,GSM12603,GSM12604,GSM12605,GSM12606
AFFX-BioDn-5_at,#NAME?,657.8,1698.5,489.9,361.6,328.8,299.2,319.2,282.8,446.6,824.5,683.8,740.9,462.7,482,402,364.4,830.1,664.4,280.3,1307.2
AFFX-BioDn-5_st,#NAME?,81.1,44.7,18.4,13.9,24.7,9.1,8.5,5.9,47.4,52.2,14.9,41.8,28.6,16.3,8.5,22.2,27.8,14.2,36.8,22.5
AFFX-CreX-3_at,#NAME?,14918,14496.3,12220.8,7713,6826.8,6794.1,7080.1,7077.9,10538.4,7333.9,7389.6,17140.1,5428.8,5655.2,7166.6,8130,7283.3,7827.9,6058.4,11628.8
AFFX-CreX-3_st,#NAME?,17.5,31.1,14.9,12.5,64.4,62.1,8.6,19.5,18.9,77.5,16.5,32.1,42.9,11.2,13.2,15.4,78.1,79.9,15.3,29.4
AFFX-CreX-5_at,#NAME?,10486.9,10011.1,8316.7,5452.7,4585.5,4702.9,4466.8,4758.5,7184.3,3339.9,4092.1,11211.5,4439.8,3318.1,5310.5,5762.2,4753.9,4673.8,4145.5,6805.9
AFFX-CreX-5_st,#NAME?,50.3,67.9,10.1,20.1,25.3,9,29.8,35.5,67.2,51.5,39,39.2,107.6,7.6,20.9,11.9,82.8,19.7,28.2,79.9
AFFX-DapX-3_at,#NAME?,41.8,7,4.8,6.5,1.7,5.4,4.2,1.8,4.8,2.8,1.7,8.3,8.1,13.4,8.3,2.9,17.8,4.7,4,2.5
AFFX-DapX-5_at,#NAME?,3.5,2.8,3.9,3.3,1.9,2.5,1.9,5.1,2.6,1.9,2.5,5.1,5.1,2.4,2.8,2.8,3.5,2.7,2.3,2.4
AFFX-DapX-M_at,#NAME?,2.7,6.4,2.7,3.5,5.8,14.7,10.8,15.9,29.8,3.2,1.5,10.1,5.2,13.2,3.9,2.7,5.5,7,4.2,3.9
AFFX-HSAC07/X00351_3_at,ACTB,28416.8,22504.6,24135.4,21615.1,16188.6,19726.5,18735.1,18550.6,25175.7,19393.6,21649.8,26035.3,23163.4,19932.3,20720.6,19388.5,20547.2,21135.9,16337.8,28920.9
